D3S1358
16	0.0588235
17	0.229694
18	0.0700243
19	0.154059
20	0.126048
21	0.0252115
22	0.0560233
23	0.137258
24	0.0532232
25	0.050423
26	0.0168109
27	0.00280018
99	0.0140009

D6S1043
9	0.000900089
10	0.00540054
11	0.216522
12	0.230123
13	0.106011
14	0.0643063
15	0.0389039
16	0.00820081
17	0.0516052
18	0.0978096
18.1	0.000900089
18.3	0.000900089
19	0.0879087
19.3	0.00180018
20	0.0525053
20.3	0.00180018
21	0.0109011
21.3	0.010001
22	0.00180018
22.3	0.00450045
23	0.00360036
23.3	0.000900089
24	0.00270027

D22S1045
11	0.0951
12	0.0088
13	0.0035
14	0.0299
15	0.405
16	0.3785
17	0.0757
18	0.0035

D2S441
9	0.0018
10	0.1761
11	0.3239
11.3	0.0898
12	0.0211
12.3	0.0018
13	0.0246
14	0.3134
15	0.044
16	0.0035

SE33
7.3	0.00179641
9	0.00199601
11	0.00349301
11.2	0.00179641
12	0.00698603
12.1	0.00179641
13	0.00349301
13.2	0.00349301
14	0.0386228
14.2	0.00349301
15	0.0492016
15.2	0.00179641
16	0.0527944
16.2	0.00179641
16.3	0.00349301
17	0.101697
17.2	0.00179641
17.3	0.00179641
18	0.0738523
19	0.050998
20	0.0474052
20.2	0.00878244
21	0.0404192
21.2	0.0157685
22	0.0122754
22.2	0.0316367
23	0.00179641
23.2	0.0263473
24.2	0.0404192
25.2	0.0263473
26.2	0.0351297
27.2	0.0561876
28.2	0.0649701
29.2	0.0808383
30.2	0.0422156
31.2	0.0281437
32.2	0.0140719
33	0.00698603
33.2	0.00878244
34	0.00179641
34.2	0.00349301

D10S1248
11	0.0035
12	0.0511
13	0.308
14	0.2835
15	0.206
16	0.125
17	0.0194
18	0.0035
